Exercise Name,Day last selected,Modality,Cardio or Strength,Impact?,Anterior/Posterior,Station Number,Equipment,,KEY
Alternating Single Leg 1/2 Up/Down,4/22/22,Lower Push,Strength,0,Anterior,3,None,,"Modality: can be upper push, upper pull, lower push, lower pull, or abs"
1 db single leg wall sit with curl and OH press on left foot,4/22/22,Lower Push,Strength,0,Anterior,2,DB,,"Cardio or Strength, as it says"
1 db single leg wall sit with curl and OH press on right foot,,,,,,,,,"Impact: 1 means high impact, 0 means low impact"
180 jump turn,,,,,,,,,"Anterior/posterior, as it says, which chain are we targeting"
3 way lunge left,,,,,,,,,Station number is ints
3 way lunge right,,,,,,,,,"Equipment: all things required to do the movement, this will be strings"
90 turn jumps,,,,,,,,,
90 turn squat jumps,,,,,,,,,
Barbell Reverse Curl with OH Press,,,,,,,,,
Barbell Reverse Curl with Push Press,,,,,,,,,
Barbell Squat Clean & OH Press,,,,,,,,,
Barbell Squat with OH Press,,,,,,,,,
Bike Climb,,,,,,,,,
Block Jumps,,,,,,,,,
DB 1-db squat w 1 arm oh press left,,,,,,,,,
DB 1-db squat w 1 arm oh press right,,,,,,,,,
DB Alternating OH Press,,,,,,,,,
DB Ankle Hops,,,,,,,,,
DB Push Press,,,,,,,,,
DB RDL with Curl and OH Press,,,,,,,,,
DB Reverse Lunge & OH Press,,,,,,,,,
DB Squat Curl & OH Press,,,,,,,,,
DB Stepping Lunge & OH Press,,,,,,,,,
DB Stepping Lunge with Curl and OH Press,,,,,,,,,
DB Up Down with OH Jump Press,,,,,,,,,
DB Up Down with OH Press,,,,,,,,,
DB squat w- oh press,,,,,,,,,
Db 1-db squat curl and oh press left,,,,,,,,,
Db 1-db squat curl and oh press right,,,,,,,,,
Db squat jump,,,,,,,,,
High Hurdle Linear Hop with 180 turn DO NOT TURN OVER HURDLE,,,,,,,,,
Lunge jumps,,,,,,,,,
MB Squat Jump with OH Press,,,,,,,,,
MB Up Down with Jump and Front Press,,,,,,,,,
MB Up Down with Jump,,,,,,,,,
MB Up Down with OH Jump Press,,,,,,,,,
MB half squat hold w front press,,,,,,,,,
Modified V-Ups with hands on floor,,,,,,,,,
Single Leg Lunge Jump Right,,,,,,,,,
Squat High Hurdle Lateral Hop Squat,,,,,,,,,
Squat Jump,,,,,,,,,
Squat Linear Low Hurdle Lat. Hop - Turn NO TURN ON JUMP,,,,,,,,,
Squat Low Hurdle Lateral Hop Squat,,,,,,,,,
Squat Low Hurdle Single Leg Hop Squat,,,,,,,,,
Squat jump-hh lateral hop-squat jump,,,,,,,,,
Squat- low hurdle lateral hop- squat,,,,,,,,,
Stationary Lunge Left - Jump,,,,,,,,,
Stationary Lunge Right - Jump,,,,,,,,,
Stationary lunge with hip ext right,,,,,,,,,
Sumo Jump Squat,,,,,,,,,
Tuck Jumps,,,,,,,,,
Up Down with Jump,,,,,,,,,
Up down- HH lateral hop- up down,,,,,,,,,
Versa Log Wall Sit,,,,,,,,,
Versa Log lateral jump,,,,,,,,,
WP Curl with Push Press,,,,,,,,,
WP Push Press,,,,,,,,,
WP Squat Curl and OH Press,,,,,,,,,
WP Squat with OH Press,,,,,,,,,
alternating single leg up down,,,,,,,,,
ankle hops-max height,,,,,,,,,
ankle hops,,,,,,,,,
barbell bent over high row,,,,,,,,,
barbell bent over low row,,,,,,,,,
barbell floor press,,,,,,,,,
barbell front squats,,,,,,,,,
barbell jump squats,,,,,,,,,
barbell low speed squat,,,,,,,,,
barbell lying tricep extension,,,,,,,,,
barbell push press,,,,,,,,,
barbell rdl w bent over row,,,,,,,,,
barbell rdl w upright row,,,,,,,,,
barbell rdls,,,,,,,,,
barbell reverse lunge,,,,,,,,,
barbell speed squat,,,,,,,,,
barbell squat to clean,,,,,,,,,
barbell squat with front raise,,,,,,,,,
barbell squat,,,,,,,,,
barbell stepping lunge w oh press,,,,,,,,,
barbell stepping lunge,,,,,,,,,
barbell upright row,,,,,,,,,
barbell wall sit with pr curl,,,,,,,,,
bent knee oblique crunch left,,,,,,,,,
bent knee oblique crunch right,,,,,,,,,
bent knee whole body crunch,,,,,,,,,
bicycle crunch with LEFT ONLY,,,,,,,,,
bicycle crunch with RIGHT ONLY,,,,,,,,,
bicycle crunch,,,,,,,,,
bike recovery,,,,,,,,,
bike sprint.wrong,,,,,,,,,
block jump w-180 turn,,,,,,,,,
block jump w-90 turn,,,,,,,,,
block squat,,,,,,,,,
boxing left left right right,,,,,,,,,
bridge walk outs,,,,,,,,,
bridge,,,,,,,,,
butt kick jumps,,,,,,,,,
caterpillar walk outs,,,,,,,,,
